OID_,CID,avg_rain,water,vegetation,slope,rugged,productivity,geology,elevation,min_temp,aspect,rabbit,pig,temp_diff,lantana,land_clear,horse,habitat,grazing,goat,fox_den,flood,drought,dog,inapp_fire,cat_den,lat,long
756,0,84.8712006,1436.780029,2,4.3687,285.9219971,0.546071,3,988.5219727,8.2459497,335.6489868,0.452547,0.559838,0.517447,0.0668083,0,0.483002,0.906185,0,0.105097,0.320625,2,3,0.77444,1,0.207951,-3482381.911,1904554.375
757,0,80.4648972,1004.429993,3,3.6765201,244.5690002,0.473942,4,303.7369995,10.2608995,206.9409943,0.436703,0.494805,0.543512,0.560685,0,0.691481,0.555806,0,0.137078,0.214643,3,3,0.686309,1,0.18822,-3589831.96,1844907.164
758,0,78.4110031,0,4,7.3563199,903.6890259,0.542287,1,688.5939941,7.9081898,103.288002,0.462205,0.562366,0.30645,0.0698043,0,0.459226,0.900619,0,0.130537,0.388982,2,1,0.776766,1,0.19132,-3389180.568,1912918.291
759,0,80.7531967,2001.619995,5,4.25529,256.8959961,0.424519,1,282.677002,12.2463999,20.6226997,0.316264,0.261665,0.271777,0.489593,1,0.474269,0.530511,2,0.0736654,0.264896,2,1,0.591345,0,0.191898,-3181056.014,1977899.551
760,0,74.5606003,2002.459961,3,3.5374501,160.3840027,0.428482,4,184.8639984,12.7469997,180.1199951,0.266328,0.429689,0.238091,0.526268,0,0.457563,0.772046,0,0.0681548,0.606749,1,1,0.585978,0,0.207487,-3158878.836,1985285.396
761,0,66.0753021,0,5,0.60815,95.3621979,0.465379,1,307.9100037,10.2488003,191.9409943,0.410668,0.303093,0.301309,0.402692,0,0.648199,0.889151,0,0.124113,0.32089,1,3,0.700886,1,0.228495,-3734911.319,1728111.022
762,0,93.710701,1000.280029,2,5.2189898,388.4989929,0.491418,4,274.1239929,10.5914001,209.1089935,0.477656,0.400003,0.129366,0.501846,1,0.581266,0.90369,2,0.132265,0.410423,1,1,0.711439,0,0.194453,-3653843.142,1793031.223
763,0,74.8547974,0,3,3.8539,252.2369995,0.452432,4,324.5469971,9.3963604,336.2269897,0.38569,0.546444,0.686113,0.554637,0,0.586949,0.456421,1,0.117693,0.147632,3,2,0.732691,1,0.180589,-3512386.782,1885930.452
764,0,56.1486015,0,3,1.2338001,198.0820007,0.423197,4,307.3070068,9.7362099,71.3026962,0.481984,0.413196,0.173339,0.211517,0,0.562589,0.853119,0,0.248981,0.241119,0,0,0.563933,0,0.235624,-3664959.335,1711947.99
765,0,85.3710022,1414.829956,3,4.3369398,222.348999,0.473238,4,148.4779968,13.5458002,189.7859955,0.392128,0.374995,0.386911,0.583949,0,0.547928,0.805515,0,0.0788504,0.165811,2,0,0.718712,1,0.179555,-3130644.072,2012163.882
766,0,78.6501007,1438.839966,4,8.1363201,498.1700134,0.462951,3,609.5479736,9.4735203,166.0180054,0.413914,0.521843,0.476778,0.284932,0,0.562507,0.922206,0,0.144977,0.154423,3,0,0.735086,1,0.180142,-3411637.717,1922738.71
767,0,78.4248962,1007.190002,3,12.1309996,589.9879761,0.468112,4,236.0879974,9.6303596,279.0079956,0.489313,0.291876,0.409349,0.34614,0,0.620296,0.313709,0,0.25809,0.259865,0,3,0.701612,1,0.201464,-3836730.138,1687245.845
768,0,68.0044022,1425.540039,3,1.0481,335.1080017,0.463418,4,425.8120117,10.4067001,180.3639984,0.46453,0.317163,0.287247,0.469062,0,0.65612,0.921526,0,0.175959,0.222629,2,3,0.725857,1,0.230751,-3696504.308,1754047.249
769,0,82.5236969,0,5,3.0024099,413.3779907,0.517698,4,103.3970032,10.7669001,274.5580139,0.505406,0.221621,0.307452,0.310296,0,0.712857,0.908975,0,0.242049,0.276393,6,3,0.655964,1,0.189732,-3943716.425,1670783.389
770,0,67.8253021,1000.119995,3,0.920563,124.802002,0.49028,4,408.026001,12.0942001,320.6820068,0.389152,0.339405,0.259277,0.632849,0,0.493068,0.9135,0,0.105384,0.220368,1,0,0.708694,1,0.198513,-3134878.754,1960187.493
771,0,94.7117996,2420.810059,3,1.96996,387.0190125,0.519957,4,636.5579834,10.8320999,73.7984009,0.397162,0.231807,0.401456,0.554043,0,0.521168,0.918379,0,0.0481611,0.168218,2,0,0.698785,1,0.180727,-3400463.707,1949945.354
772,0,114.6159973,1001.099976,2,6.9588299,611.0269775,0.564751,3,254.8820038,10.5681,124.9309998,0.353454,0.409937,0.498518,0.67136,0,0.654881,0.923946,0,0.119387,0.166426,1,0,0.72495,0,0.158697,-3491039.191,1932260.552
773,0,64.6520996,1414.599976,3,3.3060701,222.348999,0.427923,4,352.526001,12.1183996,39.0079002,0.431216,0.346102,0.281985,0.537114,0,0.480781,0.737763,1,0.0809132,0.43192,1,1,0.629831,0,0.202898,-3161226.337,1957734.824
774,0,89.1253967,1002.229981,5,4.8854599,227.9259949,0.536647,4,767.0570068,9.0726805,72.1399002,0.405979,0.27306,0.394981,0.179375,0,0.440197,0.91866,0,0.0546578,0.274816,2,0,0.683535,1,0.180937,-3411140.713,1934642.659
775,0,105.776001,1000.119995,2,4.6550298,322.6929932,0.562151,4,763.0250244,9.09974,221.8289948,0.392672,0.232023,0.368144,0.129152,1,0.305212,0.927164,2,0.0549727,0.379676,1,1,0.665463,1,0.186724,-3437519.384,1945451.213
776,0,89.3902969,1419.819946,2,6.1365099,310.480011,0.545615,4,346.5920105,12.1035995,211.8150024,0.195052,0.154959,0.236761,0.680909,0,0.555681,0.795004,1,0.0849325,0.128265,1,0,0.654172,0,0.165834,-3247497.727,2001571.277
777,0,56.1016006,0,6,5.4632502,319.6040039,0.392715,4,575.2719727,9.7309599,226.8880005,0.458544,0.490075,0.3918,0.313049,0,0.433297,0.902551,0,0.312063,0.223151,0,1,0.616116,0,0.217719,-3289976.84,1883506.354
